Category,Condition,UserQuery,BotResponse
Infectious Diseases,"Hepatitis (A, B, C)","I have hepatitis (a, b, c)","Hepatitis (A, B, C) is liver inflammation from viral infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Infectious Diseases,"Hepatitis (A, B, C)","I think I have hepatitis (a, b, c)","Hepatitis (A, B, C) is liver inflammation from viral infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Infectious Diseases,"Hepatitis (A, B, C)","Symptoms of hepatitis (a, b, c)","Hepatitis (A, B, C) is liver inflammation from viral infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Infectious Diseases,"Hepatitis (A, B, C)","Treatment for hepatitis (a, b, c)","Hepatitis (A, B, C) is liver inflammation from viral infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Infectious Diseases,"Hepatitis (A, B, C)","Cure for hepatitis (a, b, c)","Hepatitis (A, B, C) is liver inflammation from viral infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Infectious Diseases,"Hepatitis (A, B, C)","Home remedies for hepatitis (a, b, c)","Hepatitis (A, B, C) is liver inflammation from viral infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Infectious Diseases,"Hepatitis (A, B, C)","Prevention of hepatitis (a, b, c)","Hepatitis (A, B, C) is liver inflammation from viral infection. It's a condition under the 'Infectious Diseases' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment."
Mental Health,Panic attacks,Can you tell me about panic attacks?,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,What is panic attacks?,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,Tell me about panic attacks,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,I want to know about panic attacks,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,What are symptoms of panic attacks?,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,How do I treat panic attacks?,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,What causes panic attacks?,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,Is panic attacks serious?,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,Do I need a doctor for panic attacks?,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,What should I do about panic attacks?,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,Help me with panic attacks,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,Information about panic attacks,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,Explain panic attacks,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,I have panic attacks,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,I think I have panic attacks,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,Symptoms of panic attacks,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,Treatment for panic attacks,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,Cure for panic attacks,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,Home remedies for panic attacks,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Panic attacks,Prevention of panic attacks,Panic attacks is sudden episodes of intense fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,Can you tell me about stress?,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,What is stress?,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,Tell me about stress,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,I want to know about stress,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,What are symptoms of stress?,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,How do I treat stress?,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,What causes stress?,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,Is stress serious?,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,Do I need a doctor for stress?,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,What should I do about stress?,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,Help me with stress,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,Information about stress,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,Explain stress,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,I have stress,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,I think I have stress,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,Symptoms of stress,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,Treatment for stress,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,Cure for stress,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,Home remedies for stress,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Stress,Prevention of stress,Stress is mental or emotional strain. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,Can you tell me about insomnia?,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,What is insomnia?,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,Tell me about insomnia,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,I want to know about insomnia,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,What are symptoms of insomnia?,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,How do I treat insomnia?,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,What causes insomnia?,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,Is insomnia serious?,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,Do I need a doctor for insomnia?,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,What should I do about insomnia?,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,Help me with insomnia,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,Information about insomnia,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,Explain insomnia,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,I have insomnia,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,I think I have insomnia,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,Symptoms of insomnia,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,Treatment for insomnia,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,Cure for insomnia,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,Home remedies for insomnia,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Insomnia,Prevention of insomnia,Insomnia is difficulty falling or staying asleep. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,Can you tell me about depression?,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,What is depression?,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,Tell me about depression,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,I want to know about depression,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,What are symptoms of depression?,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,How do I treat depression?,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,What causes depression?,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,Is depression serious?,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,Do I need a doctor for depression?,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,What should I do about depression?,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,Help me with depression,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,Information about depression,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,Explain depression,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,I have depression,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,I think I have depression,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,Symptoms of depression,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,Treatment for depression,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,Cure for depression,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,Home remedies for depression,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Depression,Prevention of depression,Depression is persistent feeling of sadness. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,Can you tell me about anxiety?,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,What is anxiety?,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,Tell me about anxiety,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,I want to know about anxiety,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,What are symptoms of anxiety?,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,How do I treat anxiety?,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,What causes anxiety?,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,Is anxiety serious?,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,Do I need a doctor for anxiety?,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,What should I do about anxiety?,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,Help me with anxiety,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,Information about anxiety,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,Explain anxiety,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,I have anxiety,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,I think I have anxiety,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,Symptoms of anxiety,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,Treatment for anxiety,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,Cure for anxiety,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,Home remedies for anxiety,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
Mental Health,Anxiety,Prevention of anxiety,Anxiety is excessive worry or fear. It's a condition under the 'Mental Health' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,Can you tell me about common cold?,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,What is common cold?,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,Tell me about common cold,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,I want to know about common cold,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,What are symptoms of common cold?,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,How do I treat common cold?,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,What causes common cold?,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,Is common cold serious?,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,Do I need a doctor for common cold?,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,What should I do about common cold?,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,Help me with common cold,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,Information about common cold,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,Explain common cold,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,I have common cold,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,I think I have common cold,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,Symptoms of common cold,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,Treatment for common cold,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,Cure for common cold,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,Home remedies for common cold,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Common cold,Prevention of common cold,Common cold is viral infection of nose and throat. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),Can you tell me about cough (dry/productive)?,Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),What is cough (dry/productive)?,Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),Tell me about cough (dry/productive),Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),I want to know about cough (dry/productive),Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),What are symptoms of cough (dry/productive)?,Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),How do I treat cough (dry/productive)?,Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),What causes cough (dry/productive)?,Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),Is cough (dry/productive) serious?,Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),Do I need a doctor for cough (dry/productive)?,Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),What should I do about cough (dry/productive)?,Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),Help me with cough (dry/productive),Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),Information about cough (dry/productive),Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),Explain cough (dry/productive),Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),I have cough (dry/productive),Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),I think I have cough (dry/productive),Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),Symptoms of cough (dry/productive),Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),Treatment for cough (dry/productive),Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),Cure for cough (dry/productive),Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),Home remedies for cough (dry/productive),Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Cough (dry/productive),Prevention of cough (dry/productive),Cough (dry/productive) is reflex action to clear airways. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Headache,Can you tell me about headache?,Headache is pain in head or upper neck. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Headache,What is headache?,Headache is pain in head or upper neck. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Headache,Tell me about headache,Headache is pain in head or upper neck. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Headache,I want to know about headache,Headache is pain in head or upper neck. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Headache,What are symptoms of headache?,Headache is pain in head or upper neck. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Headache,How do I treat headache?,Headache is pain in head or upper neck. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Headache,What causes headache?,Headache is pain in head or upper neck. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
General & Everyday Illnesses,Headache,Is headache serious?,Headache is pain in head or upper neck. It's a condition under the 'General & Everyday Illnesses' category. It's advisable to consult a healthcare provider for proper diagnosis and treatment.
